Country,Year,Deaths,GDP_per_Capita,Democracy score
Haiti,2022,17090,1748.25713539751,2.81
Honduras,2020,412628,2307.13093003215,5.36
Honduras,2021,2598055,2738.21626989704,5.1
Honduras,2022,229827,3012.21734086324,5.15
Hungary,2020,452473,16131.9540355923,6.56
Hungary,2021,9635417,18755.1023464312,6.5
Hungary,2022,881057,18355.8278072065,6.64
Iceland,2020,3674,59023.566346577805,9.37
Iceland,2021,11314,69252.3112431448,9.18
Iceland,2022,901,75135.0916136358,9.52
India,2020,17171598,1915.55158799947,6.610000000000001
India,2021,121382644,2250.1790176424,6.91
India,2022,10671437,2366.30960899931,7.04
Indonesia,2020,2148683,3895.61815200225,6.3
Indonesia,2021,30620691,4334.23145407913,6.71
Indonesia,2022,3171242,4787.91236404903,6.71
Iraq,2020,1623028,4250.74290829159,3.62
Iraq,2021,6615129,4816.78483395313,3.51
Iraq,2022,532901,6441.91736451813,3.13
Ireland,2020,460986,85973.0884875501,9.05
Ireland,2021,1758645,102001.798249145,9.0
Ireland,2022,131905,103983.29133582,9.13
Israel,2020,339051,44846.7915954816,7.839999999999999
Israel,2021,2418498,52129.5159612108,7.969999999999999
Israel,2022,182461,54930.9388075096,7.929999999999999
Italy,2020,10582442,31922.9191626183,7.74
Italy,2021,43595671,36441.0598048734,7.68
Italy,2022,3080018,35068.8359738449,7.69
Jamaica,2020,23679,4897.26476180879,7.13
Jamaica,2021,452353,5183.58102957767,7.13
Jamaica,2022,55295,6047.2164436428,7.129999999999999
Japan,2020,364142,40040.7655055923,8.13
Japan,2021,4811180,40058.5373276179,8.15
Japan,2022,405222,34017.2718075024,8.33
Jordan,2020,172825,3998.67313829235,3.62
Jordan,2021,3233166,4152.75795426388,3.49
Jordan,2022,283863,4311.0000506816,3.17
Kazakhstan,2020,342310,9121.63640904156,3.1399999999999997
Kazakhstan,2021,3598679,10270.8873391027,3.08
Kazakhstan,2022,402319,11484.4168149009,3.08
Kenya,2020,158497,1936.25075454374,5.05
Kenya,2021,1320390,2069.66112881918,5.05
Kenya,2022,120088,2099.29856841025,5.05
Kuwait,2020,132226,24656.4337134064,3.8
Kuwait,2021,686533,33358.4631538575,3.91
Kuwait,2022,54424,42823.8278348699,3.83
Latvia,2020,22288,18096.2027073394,7.24
Latvia,2021,907184,20930.3982374189,7.309999999999999
Latvia,2022,102999,21508.4003332167,7.370000000000001
Lebanon,2020,93678,5599.95752260733,4.16
Lebanon,2021,2550399,4136.14657516013,3.84
Lebanon,2022,204893,3823.93806860546,3.64
Lesotho,2020,6015,910.93494753765,6.3
Lesotho,2021,144317,1054.9327396161,6.3
Lesotho,2022,15011,992.857328462257,6.19
Liberia,2020,16107,624.289710007737,5.32
Liberia,2021,61434,676.44292696753,5.43
Liberia,2022,6317,754.5328485722601,5.43
Libya,2020,111938,9872.11114427602,1.95
Libya,2021,1301431,7094.999820173279,1.95
Libya,2022,127788,8211.38094790285,2.06
Lithuania,2020,59259,20381.8557827478,7.13
Lithuania,2021,1630370,23849.6156993566,7.18
Lithuania,2022,166710,25078.7453655669,7.31
Luxembourg,2020,43539,116905.37039685302,8.68
Luxembourg,2021,283934,133711.794435985,8.68
Luxembourg,2022,20441,125006.021815486,8.81
Madagascar,2020,36344,462.40422881838305,5.7
Madagascar,2021,269475,503.3520811908579,5.7
Madagascar,2022,24574,516.772196977613,5.7
Malawi,2020,29150,621.417772482775,5.74
Malawi,2021,557423,632.533192648231,5.739999999999999
Malawi,2022,53609,643.433195658657,5.91
Malaysia,2020,49640,10164.344431073,7.19
Malaysia,2021,4290118,11134.6229528189,7.239999999999999
Malaysia,2022,697715,11993.1876132994,7.3
Mali,2020,31265,822.906136832132,3.9300000000000006
Mali,2021,178577,881.510088733585,3.48
Mali,2022,14992,831.223466645115,3.23
Malta,2020,11597,29592.5714840718,7.68
